date,total_pnl,trade_count,avg_pnl,total_volume,avg_trade_size,total_fees,unique_accounts,unique_coins,pnl_buy,pnl_sell,volume_buy,volume_sell,buy_sell_ratio
2024-05-10,2101.74,22,95.53,156882.0,7131.0,54.91,1,1,123891.36,32990.64,2101.741695,0.0,2101741.6950000003
2024-05-11,251.6,9,27.96,63248.95,7027.66,22.14,1,1,0.0,63248.95,0.0,251.604742,0.0
2024-05-12,0.0,23,0.0,55179.56,2399.11,19.31,2,3,50200.88,4978.68,0.0,0.0,0.0
2024-05-13,2136.85,28,76.32,193118.9,6897.1,67.59,2,2,39004.93,154113.97,0.0,2136.853859,0.0
2024-05-14,1150.52,23,50.02,145853.4,6341.45,51.05,1,1,145853.4,0.0,1150.5233050000002,0.0,1150523.3050000002
2024-05-15,948.97,36,26.36,234922.57,6525.63,82.22,1,1,59980.26,174942.31,23.662860000000002,925.307722,0.025572935213291983
2024-05-16,214.59,27,7.95,162620.96,6023.0,56.92,2,2,125785.35,36835.61,214.5898,0.0,214589.8
2024-05-18,3522.39,25,140.9,126303.14,5052.13,44.21,1,1,29889.28,96413.86,108.780764,3413.613897,0.03186673578662907
2024-05-19,0.0,8,0.0,29998.09,3749.76,10.5,1,1,29998.09,0.0,0.0,0.0,0.0
2024-05-20,-74.82,10,-7.48,38124.75,3812.48,13.34,2,2,33003.4,5121.35,0.0,-74.818442,-0.0
2024-05-21,7289.4,125,58.32,1100948.59,8807.59,385.33,2,3,311227.62,789720.97,-527.567728,7816.965299999999,-0.06749008601968771
2024-05-22,0.0,6,0.0,44995.29,7499.22,15.75,1,1,0.0,44995.29,0.0,0.0,0.0
2024-05-23,413.35,325,1.27,401850.6,1236.46,113.43,3,7,222862.93,178987.67,403.149609,10.197719999999997,39.529432026764155
2024-05-24,821.95,2,410.97,50811.9,25405.95,17.78,1,1,0.0,50811.899999999994,0.0,821.949278,0.0
2024-05-25,14.13,16,0.88,29991.13,1874.45,10.25,2,2,27492.059999999998,2499.07,14.126038999999999,0.0,14126.038999999999
2024-05-26,778.68,16,48.67,53976.67,3373.54,18.77,2,4,494.66,53482.01,5.2257,773.4582,0.006756271048298346
2024-05-27,1129.36,251,4.5,151115.72,602.05,45.83,1,5,76102.26,75013.46,1129.35587,0.0,1129355.87
2024-05-29,277.79,164,1.69,84268.76,513.83,36.88,2,15,56904.44,27364.32,277.199233,0.5927199999999999,466.885456107256
2024-05-30,20.95,7,2.99,2838.09,405.44,0.99,1,5,1783.32,1054.77,20.951433,0.0,20951.433
2024-05-31,25.36,13,1.95,3636.14,279.7,1.27,1,3,1805.3799999999999,1830.76,25.35812,0.0,25358.12
2024-06-01,91.51,25,3.66,12834.62,513.38,4.49,1,3,6371.530000000001,6463.09,91.510419,0.0,91510.419
2024-06-02,192.91,93,2.07,29464.51,316.82,7.79,1,2,10703.07,18761.44,192.906947,0.0,192906.947
2024-06-03,562.81,70,8.04,21466.86,306.67,5.38,1,2,14384.74,7082.12,562.808208,0.0,562808.208
2024-06-04,52.21,53,0.99,24243.41,457.42,7.43,1,4,12095.619999999999,12147.79,52.211438,0.0,52211.438
2024-06-05,56.06,54,1.04,25350.77,469.46,7.1,1,3,12647.34,12703.43,56.055506,0.0,56055.506
2024-06-06,274.17,234,1.17,137557.76,587.85,37.08,1,5,68641.61,68916.15,273.456737,0.71645,381.15093316607425
2024-06-07,8902.47,440,20.23,1098588.76,2496.79,372.96,3,6,749082.09,349506.67,7492.152292,1410.315124,5.312392139962515
2024-06-08,129.14,29,4.45,97351.88,3356.96,34.07,2,4,69448.03,27903.85,0.0,129.13883900000002,0.0
2024-06-09,0.0,17,0.0,22410.22,1318.25,7.52,2,2,22410.22,0.0,0.0,0.0,0.0
2024-06-10,31.27,53,0.59,46587.93,879.02,14.7,2,3,35278.46,11309.47,31.266804999999998,0.0,31266.804999999997
2024-06-11,4320.63,123,35.13,373279.92,3034.8,129.93,3,7,363850.15,9429.77,4269.550668,51.081143,83.58205856790308
2024-06-12,-21886.53,254,-86.17,193407.96,761.45,63.92,2,3,108407.68,85000.28,-21886.531493,0.0,-21886531.492999997
2024-06-13,6632.76,79,83.96,132577.22,1678.19,33.4,2,4,81621.4,50955.81999999999,5677.372175,955.3849399999999,5.942490816852508
2024-06-14,10258.59,31,330.92,139868.66,4511.89,38.95,2,2,139868.66,0.0,10258.592609,0.0,10258592.609
2024-06-15,3369.96,78,43.2,718350.25,9209.62,251.42,2,2,108002.32,610347.9299999999,0.0,3369.958346,0.0
2024-06-16,0.0,11,0.0,25235.08,2294.1,8.83,1,1,0.0,25235.079999999998,0.0,0.0,0.0
2024-06-17,10599.5,38,278.93,368380.12,9694.21,128.93,2,2,250003.79,118376.33,9223.557689000001,1375.944686,6.703431525566773
2024-06-18,282.58,25,11.3,263314.79,10532.59,67.16,2,2,238015.28,25299.510000000002,0.0,282.57636,0.0
2024-06-19,4887.66,61,80.13,417071.12,6837.23,138.85,3,5,23168.39,393902.73,0.0,4887.656944,0.0
2024-06-20,57478.46,39,1473.81,207990.8,5333.1,13.47,3,4,0.0,207990.8,0.0,57478.456026,0.0
